master_id,order_num_total,customer_value_total,recency,tenure,kmeans_segment,hc_segment
cc294636-19f0-11eb-8d74-000d3a38a36f,5.0,939.37,95,214,3,3
f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,21.0,2013.55,105,1574,1,0
69b69676-1a40-11ea-941b-000d3a38a36f,5.0,585.32,186,552,2,2
1854e56c-491f-11eb-806e-000d3a38a36f,2.0,121.97,135,146,3,3
d6ea1074-f1f5-11e9-9346-000d3a38a36f,2.0,209.98000000000002,86,668,0,1
e585280e-aae1-11e9-a2fc-000d3a38a36f,3.0,200.86,80,926,0,1
c445e4ee-6242-11ea-9d1a-000d3a38a36f,4.0,375.93,226,454,0,2
3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f,2.0,163.63,293,382,0,2
cfbda69e-5b4f-11ea-aca7-000d3a38a36f,5.0,1054.69,86,495,2,0
1143f032-440d-11ea-8b43-000d3a38a36f,2.0,165.96,240,672,0,2
ae608ece-c9d8-11ea-a31e-000d3a38a36f,2.0,114.97999999999999,311,317,0,2
c2e15af2-9eed-11e9-9897-000d3a38a36f,20.0,2861.6,13,2158,1,0
2854f11a-0185-11ea-a5e8-000d3a38a36f,4.0,312.45,48,572,4,1
ec6c382a-3e97-11ea-a823-000d3a38a36f,4.0,557.79,147,688,2,2
241f0ad0-afb5-11e9-9757-000d3a38a36f,24.0,4413.29,2,886,1,0
13ed97a4-b167-11e9-89fa-000d3a38a36f,8.0,932.36,288,719,2,0
d9b77226-a509-11e9-a2fc-000d3a38a36f,5.0,495.25,202,849,2,2
efb82ba4-aaba-11e9-a2fc-000d3a38a36f,4.0,888.86,132,692,2,2
1ee5ae66-7237-11eb-aa44-000d3a38a36f,2.0,267.12,51,104,3,3
2730793e-3908-11ea-85d6-000d3a38a36f,2.0,314.98,347,673,0,2
4da5c2ba-403b-11ea-aa6b-000d3a38a36f,2.0,109.97,128,635,0,2
7b289956-d691-11e9-93bc-000d3a38a36f,3.0,730.67,187,643,2,2
1a9b39d8-40ac-11ea-9be8-000d3a38a36f,2.0,219.97,366,562,0,2
4fbb0cbe-9085-11ea-af25-000d3a38a36f,2.0,242.45,123,386,0,3
d1fabf76-7171-11eb-a3e2-000d3a38a36f,4.0,1106.56,29,106,3,3
6ff327d4-b0e1-11e9-9757-000d3a38a36f,3.0,347.45,133,483,0,2
7e7732ae-2d78-11eb-8062-000d3a299ebf,2.0,532.31,56,190,3,3
c1f8f878-9f35-11e9-9897-000d3a38a36f,4.0,130.87,92,2920,0,2
5e1830d8-9e24-11e9-9897-000d3a38a36f,3.0,468.47,144,194,3,3
a46cc34a-a19f-11e9-a2fc-000d3a38a36f,2.0,175.98,184,828,0,2
1618f596-130a-11ea-a001-000d3a38a36f,5.0,832.8199999999999,51,822,2,0
c864868a-5134-11ea-99ba-000d3a38a36f,3.0,526.95,245,604,0,2
57b22f66-d6a3-11e9-93bc-000d3a38a36f,5.0,737.44,105,642,2,0
fb840306-1219-11ea-a001-000d3a38a36f,8.0,923.64,116,500,2,0
1acf7870-87af-11ea-ace9-000d3a38a36f,2.0,298.09000000000003,103,401,0,2
7a52fd46-5be8-11ea-a7c9-000d3a38a36f,2.0,135.48,326,471,0,2
196e721a-d6d9-11e9-93bc-000d3a38a36f,2.0,129.98,294,638,0,2
3551e96c-5b40-11ea-8e0b-000d3a38a36f,3.0,714.8900000000001,90,471,2,2
80c89c7a-d6dd-11e9-93bc-000d3a38a36f,2.0,340.9,131,638,0,2
280cd78c-f324-11e9-9346-000d3a38a36f,5.0,526.87,158,832,2,2
6e47c6c2-4f49-11ea-99ba-000d3a38a36f,6.0,1099.8899999999999,187,545,2,0
6a46e618-16f8-11ea-b4ec-000d3a38a36f,15.0,2930.34,322,566,1,0
1e6a5e78-7a8a-11ea-8f20-000d3a38a36f,5.0,655.4300000000001,99,417,2,0
6e19617c-f068-11ea-bde9-000d3a38a36f,2.0,314.93,41,268,3,3
a9acbdcc-a872-11e9-a2fc-000d3a38a36f,5.0,791.69,303,1983,2,2
d45e704c-b13c-11e9-9757-000d3a38a36f,3.0,1095.39,335,609,2,2
45b1d028-1da7-11ea-8bf2-000d3a38a36f,2.0,275.46,279,702,0,2
09797cba-5b4a-11ea-8975-000d3a38a36f,4.0,869.9300000000001,35,523,4,1
1eb32dea-a409-11e9-a2fc-000d3a38a36f,3.0,271.96999999999997,162,782,0,2
6925c836-ab8b-11e9-a2fc-000d3a38a36f,6.0,740.53,40,1260,4,0
c109302c-f72c-11ea-a533-000d3a38a36f,3.0,1447.99,168,259,2,0
c7cd4332-20bb-11ea-97c9-000d3a38a36f,4.0,538.61,33,751,4,1
d875bb04-4539-11ea-acaf-000d3a38a36f,7.0,865.89,104,565,2,0
cc7a587e-3110-11ea-b884-000d3a38a36f,3.0,178.47,29,635,0,1
e7fa4114-e7cc-11e9-8bb8-000d3a38a36f,6.0,404.93,293,385,2,2
59fe5f5c-b1c2-11e9-89fa-000d3a38a36f,2.0,689.88,95,684,0,2
92a334ee-58f2-11eb-9e65-000d3a38a36f,2.0,214.86,110,124,3,3
12f0df54-accc-11e9-a2fc-000d3a38a36f,2.0,746.94,41,41,3,3
a0133918-1d60-11ea-a490-000d3a38a36f,4.0,201.69,238,652,0,2
5366d676-5403-11eb-9e65-000d3a38a36f,2.0,654.89,8,141,3,3
07ddfcfe-2590-11ea-b1c8-000d3a38a36f,8.0,600.65,24,610,4,0
b4e68f92-a534-11e9-a2fc-000d3a38a36f,7.0,737.1,125,1093,2,0
fa4d1ac8-abd9-11e9-a2fc-000d3a38a36f,4.0,450.96000000000004,194,1509,2,2
6ece7c1c-4594-11ea-acaf-000d3a38a36f,3.0,280.76,42,669,0,1
15fa60d6-9eb1-11e9-9897-000d3a38a36f,4.0,364.04,119,1902,2,2
83c57128-1eea-11ea-81ff-000d3a38a36f,7.0,1055.37,8,674,4,0
bb548d60-abb6-11e9-a2fc-000d3a38a36f,2.0,211.95999999999998,161,691,0,2
9e060288-2eed-11ea-8467-000d3a38a36f,4.0,384.90999999999997,190,665,0,2
444de882-b067-11e9-9757-000d3a38a36f,9.0,694.87,34,671,4,0
89cbf714-a6d0-11e9-a2fc-000d3a38a36f,6.0,710.89,34,2527,1,2
3af86bfe-5459-11ea-b1db-000d3a38a36f,4.0,1451.55,257,524,2,0
9c5d4960-5bd8-11ea-9ccc-000d3a38a36f,5.0,524.36,319,518,2,2
6fcc04d0-3050-11ea-bb28-000d3a38a36f,6.0,805.4000000000001,225,562,2,2
eb648a26-a56e-11e9-a2fc-000d3a38a36f,10.0,2038.65,7,1505,1,0
8423eda8-ae37-11e9-a2fc-000d3a38a36f,5.0,1281.3600000000001,12,956,4,0
af94d3c0-b199-11e9-89fa-000d3a38a36f,2.0,201.3,24,449,0,1
7d58deb6-62fa-11ea-a6dc-000d3a38a36f,8.0,1371.45,190,1813,1,0
45beaf52-add9-11e9-a2fc-000d3a38a36f,7.0,790.87,29,535,4,0
56ddd00a-aff6-11e9-9757-000d3a38a36f,2.0,273.85,92,418,0,1
a5fc6ee6-a257-11e9-a2fc-000d3a38a36f,3.0,700.78,263,814,2,2
b4f0a6e6-ae60-11e9-a2fc-000d3a38a36f,13.0,1633.45,6,950,1,0
af28d808-9750-11ea-a9c8-000d3a38a36f,3.0,550.38,160,562,0,2
6d57890e-9f67-11eb-9c47-000d3a38a36f,2.0,283.23,43,686,0,1
7bb4c782-a450-11e9-a2fc-000d3a38a36f,13.0,1136.8,78,773,1,0
4a1ecbbc-5271-11ea-956d-000d3a38a36f,4.0,444.95000000000005,195,511,0,2
d8f47744-a595-11e9-a2fc-000d3a38a36f,10.0,1461.75,47,1221,1,0
2c5e69e8-ae6b-11e9-a2fc-000d3a38a36f,9.0,1512.39,63,529,1,0
0efc89ac-9f16-11e9-9897-000d3a38a36f,5.0,846.35,99,686,2,0
8c92d204-1eb4-11ea-aa32-000d3a38a36f,6.0,654.6,314,591,2,2
bfc40df8-3068-11ea-bb28-000d3a38a36f,4.0,321.95,259,632,0,2
de493b6c-a35b-11e9-a2fc-000d3a38a36f,2.0,229.98000000000002,198,796,0,2
808005da-a511-11e9-a2fc-000d3a38a36f,8.0,1298.84,215,1076,2,0
cae701dc-d621-11e9-93bc-000d3a38a36f,2.0,139.98,74,655,0,2
acff824a-1dc3-11ea-8bf2-000d3a38a36f,6.0,579.94,185,745,2,0
4e24ed86-9e9e-11e9-9897-000d3a38a36f,4.0,515.9399999999999,4,1803,4,1
bac9d616-a837-11e9-a2fc-000d3a38a36f,3.0,667.97,187,428,2,2
4e18b218-5650-11ea-b9b9-000d3a38a36f,5.0,591.12,189,532,2,2
5261c16e-9c93-11ea-a27a-000d3a38a36f,2.0,556.46,336,376,0,2
20a9824c-ab17-11e9-a2fc-000d3a38a36f,4.0,631.68,99,1351,2,2
9c328802-a6ce-11e9-a2fc-000d3a38a36f,3.0,845.77,53,2530,2,2
b74c85fa-43a0-11eb-806e-000d3a38a36f,10.0,899.8399999999999,90,465,2,0
72b33428-f9a1-11ea-9564-000d3a38a36f,3.0,689.62,159,256,3,3
f9adaeba-bbb5-11ea-a0c9-000d3a38a36f,5.0,535.3800000000001,56,632,4,1
8b607a4a-abae-11e9-a2fc-000d3a38a36f,5.0,629.9300000000001,161,1234,2,2
861090c6-a923-11e9-a2fc-000d3a38a36f,2.0,1078.99,139,1713,2,2
41272966-a0cc-11e9-a2fc-000d3a38a36f,2.0,479.19,42,847,4,2
bd2305fe-6051-11ea-8dd8-000d3a38a36f,2.0,387.86,104,492,0,2
fdb7846a-319d-11ea-9c9f-000d3a38a36f,2.0,464.88,354,662,0,2
5bc87a7c-9de8-11e9-9897-000d3a38a36f,7.0,797.3199999999999,253,1320,2,0
804e7e88-18fd-11ea-9213-000d3a38a36f,10.0,1508.71,11,629,1,0
215ed4a8-a595-11e9-a2fc-000d3a38a36f,3.0,511.79,36,831,4,2
36c7a90a-a0f9-11e9-a2fc-000d3a38a36f,6.0,1517.55,15,837,4,0
63695372-a1c7-11e9-a2fc-000d3a38a36f,4.0,484.37,8,825,4,1
1f65610c-526b-11ea-956d-000d3a38a36f,4.0,889.37,111,510,2,2
c9c3e8aa-9aa8-11ea-9fd8-000d3a38a36f,2.0,232.48,110,376,0,3
552c4978-ace8-11e9-a2fc-000d3a38a36f,3.0,565.4399999999999,184,838,2,2
ef770b48-e155-11e9-957d-000d3a38a36f,5.0,394.95,316,634,2,2
88667a54-1311-11ea-a001-000d3a38a36f,5.0,600.7,82,776,2,0
c51201f2-1155-11ea-8872-000d3a38a36f,5.0,549.91,72,629,2,1
a7ab666a-ae60-11e9-a2fc-000d3a38a36f,3.0,1055.89,64,692,2,1
b050a646-2254-11ea-8523-000d3a38a36f,5.0,926.85,48,619,4,1
7fcbeba8-a8a0-11e9-a2fc-000d3a38a36f,4.0,259.96,271,668,0,2
f318a3de-ad06-11e9-a2fc-000d3a38a36f,2.0,120.72999999999999,292,1089,0,2
9b6eb67e-75e6-11ea-b23f-000d3a38a36f,3.0,408.45000000000005,65,423,0,2
575164ec-a417-11e9-a2fc-000d3a38a36f,4.0,657.22,9,780,4,1
32756a80-b022-11e9-9757-000d3a38a36f,2.0,154.94,203,829,0,2
71976318-2aa0-11eb-b280-000d3a38a36f,3.0,369.94,133,231,3,3
9c6ce7b0-5bee-11ea-bfa9-000d3a38a36f,9.0,899.98,141,505,2,0
16aebb98-d63e-11e9-93bc-000d3a38a36f,3.0,468.96000000000004,19,651,4,1
1f8c68a2-c565-11ea-9dde-000d3a38a36f,2.0,339.49,210,323,0,2
ae557c64-5b29-11ea-b304-000d3a38a36f,3.0,717.9300000000001,361,495,2,2
b0708360-9768-11ea-a9c8-000d3a38a36f,4.0,528.6300000000001,256,389,2,2
5952b580-5b3b-11ea-8569-000d3a38a36f,3.0,300.45000000000005,8,515,4,1
83ae5204-ff19-11e9-a5e8-000d3a38a36f,3.0,420.44,6,668,4,1
6817921c-a96a-11e9-a2fc-000d3a38a36f,8.0,441.92999999999995,11,1985,4,0
09893098-221e-11ea-8523-000d3a38a36f,4.0,480.96,27,808,4,1
37753730-9b69-11ea-a27a-000d3a38a36f,8.0,2147.96,89,410,1,0
6f11ab30-a932-11e9-a2fc-000d3a38a36f,4.0,550.71,243,921,2,2
8d58d24a-a792-11e9-a2fc-000d3a38a36f,2.0,618.6700000000001,95,2263,2,2
8c62a1a0-00c4-11ea-a5e8-000d3a38a36f,3.0,853.8,174,573,2,2
e3506ca0-a218-11e9-a2fc-000d3a38a36f,7.0,953.3100000000001,42,818,1,0
b6305fbe-5b4f-11ea-bb88-000d3a38a36f,5.0,863.24,296,520,2,2
d3fea560-aced-11ea-b736-000d3a38a36f,3.0,326.85,133,354,0,2
b5a2eea6-e74e-11e9-8bb8-000d3a38a36f,2.0,564.78,289,593,0,2
45efeeb0-5b2a-11ea-bae8-000d3a38a36f,3.0,369.88,140,501,0,2
5bfa131c-ada5-11e9-a2fc-000d3a38a36f,3.0,318.46,346,715,0,2
e637e170-aea0-11e9-a2fc-000d3a38a36f,4.0,305.75,77,953,0,2
90e0b158-2b54-11ea-9d27-000d3a38a36f,8.0,2254.4399999999996,228,549,1,0
ecabc266-a7f6-11e9-a2fc-000d3a38a36f,2.0,109.97999999999999,308,2152,0,2
0117c094-63e8-11ea-a6dc-000d3a38a36f,2.0,339.49,249,447,0,2
35f216d0-5bef-11ea-a0d1-000d3a38a36f,3.0,414.31,44,530,4,1
eb9baf18-a368-11e9-a2fc-000d3a38a36f,2.0,209.98,327,795,0,2
0c911658-1ceb-11ea-a490-000d3a38a36f,4.0,762.58,15,674,4,1
2b632570-4195-11ea-96d9-000d3a38a36f,3.0,394.94,58,598,0,2
46097e88-1cb5-11ea-a490-000d3a38a36f,2.0,425.98,133,137,3,3
f4f890ba-8627-11ea-be76-000d3a38a36f,4.0,834.96,138,403,2,2
c88819fa-d0fb-11ea-8b59-000d3a38a36f,2.0,359.97,301,308,0,2
3d707d74-d667-11e9-93bc-000d3a38a36f,5.0,684.94,72,664,2,0
b8ddf1a2-5b0b-11ea-bffe-000d3a38a36f,2.0,259.13,36,469,0,1
5c116b1a-5341-11ea-acd3-000d3a38a36f,3.0,245.70999999999998,162,495,0,2
aa572c64-5efa-11ea-be5b-000d3a38a36f,5.0,1111.94,289,524,2,2
5307c13a-f4e7-11e9-9346-000d3a38a36f,2.0,338.99,116,588,0,2
a28e246a-5daf-11eb-8dbd-000d3a38a36f,8.0,2037.51,34,1440,1,0
fef57ffa-aae6-11e9-a2fc-000d3a38a36f,37.0,12726.1,20,1666,1,0
de6b47a4-a065-11ea-9d0a-000d3a38a36f,8.0,1302.9,10,370,4,0
97abdc4a-a5d2-11e9-a2fc-000d3a38a36f,5.0,449.96000000000004,63,1442,2,2
9613613c-c9d0-11ea-a31e-000d3a38a36f,2.0,490.97,2,317,4,1
c6b217b6-dfcf-11e9-957d-000d3a38a36f,3.0,451.90999999999997,8,615,4,1
ab52332e-a1af-11e9-a2fc-000d3a38a36f,3.0,290.95,105,827,0,2
267f4a64-5b4b-11ea-a909-000d3a38a36f,2.0,194.98000000000002,82,516,0,2
c25f2eea-265d-11ea-b9a0-000d3a38a36f,2.0,300.88,168,683,0,2
a076af30-aacd-11e9-a2fc-000d3a38a36f,2.0,439.87,109,994,0,2
da229068-653b-11ea-bac7-000d3a38a36f,4.0,531.84,43,445,4,1
a9f02aa8-5be6-11ea-8bd2-000d3a38a36f,5.0,590.94,13,608,4,1
75aea3d4-a8fb-11ea-8479-000d3a38a36f,3.0,224.95,110,459,0,2
737ef46a-18eb-11ea-9213-000d3a38a36f,3.0,402.85,177,681,0,2
54df998e-5274-11ea-956d-000d3a38a36f,6.0,647.67,60,529,2,1
06ea4252-5b56-11ea-b15d-000d3a38a36f,2.0,273.46999999999997,186,527,0,2
23c40308-9ea1-11e9-9897-000d3a38a36f,7.0,827.36,9,1825,4,1
